id,pop,pop_above_60
40089,33143,7337
40097,41007,9432
40101,70224,15292
40109,754480,132855
40111,39446,9205
40113,48054,11894
40115,32085,7632
40119,79423,12188
40121,44961,11123
40123,38055,7914
40125,71136,14850
40131,89190,18598
40135,41464,9396
40137,44806,10689
40143,623335,113589
40145,75391,15380
40147,51760,12393
41003,86495,17295
41005,389438,88478
41007,37382,9838
41009,49389,12083
41011,62775,20337
41015,22338,9112
41017,166622,41308
41019,107194,33855
41029,208363,56659
41033,83409,27500
41035,65972,17616
41039,357060,85369
41041,46347,15923
41043,118971,28061
41047,323259,64424
41051,768418,134211
41053,77264,17385
41057,25430,8410
41059,76738,15170
41067,556210,93068
41071,101119,20568
42001,101767,24873
42003,1231145,292629
42005,67979,18371
42007,169785,44664
42009,49086,13421
42011,413965,89013
42013,126448,32713
42015,62228,16313
42017,626583,142994
42019,185689,42603
42021,139381,37864
42025,64634,16616
42027,157823,26867
42029,509797,102627
42031,39454,9418
42033,81343,20644
42035,39614,8890
42037,66912,15719
42039,87343,21998
42041,241427,55282
42043,271094,57757
42045,561683,117381
42047,31370,8550
42049,279858,60161
42051,134851,35497
42055,152285,36425
42059,37938,8899
42061,45906,11458
42063,87895,20418
42065,44756,11573
42069,213459,53553
42071,530216,116381
42073,89162,24185
42075,135776,32897
42077,356756,76791
42079,320095,81137
42081,116656,28088
42083,42884,10281
42085,115320,30085
42087,46675,12345
42089,167881,34818
42091,812970,180766
42095,299616,69644
42097,94006,24842
42099,45677,10453
42101,1555072,272483
42103,56632,14948
42107,146360,38003
42109,40046,8920
42111,76617,20713
42115,42369,11266
42117,42284,10993
42119,44958,9509
42121,53906,14580
42123,40962,11251
42125,208226,53223
42127,51642,14245
42129,361251,100080
42131,28147,7026
42133,439660,94107
44001,49176,11904
44003,164958,39178
44005,82663,21191
44007,630459,122879
44009,126405,31238
45003,163908,38706
45007,191215,43492
45013,171420,52434
45015,193613,33092
45019,372904,75241
45021,55863,11484
45023,32556,7544
45025,46192,9914
45027,34178,9377
45029,38004,9428
45031,67922,15685
45035,145715,24350
45041,138330,28838
45043,60572,19017
45045,474903,92141
45047,69771,15507
45051,290730,80097
45055,62722,14527
45057,81263,20095
45059,66389,15439
45063,273843,54483
45067,32167,7852
45071,37690,9080
45073,74949,21340
45075,90575,21265
45077,120124,24205
45079,397899,64095
45083,291240,60122
45085,107777,21517
45087,28125,7302
45089,33238,8108
45091,240076,44398
46013,38060,8186
46083,49874,7282
46099,178942,30973
46103,106085,22107
47001,75430,19162
47003,45986,9008
47009,125188,30557
47011,102062,21598
47013,40176,10468
47017,28353,7277
47019,56941,14857
47021,39422,7360
47025,31748,7721
47029,35321,9365
47031,53448,11856
47035,57455,20481
47037,658506,105694
47043,50472,10358
47045,38054,8325
47047,38814,10177
47051,41138,10234
47053,49572,11513
47055,28949,7182
47059,68576,18277
47063,62999,14284
47065,348121,76700
47071,25900,7418
47073,56595,14390
47079,32269,9103
47089,52490,13133
47093,444348,88834
47099,42226,9783
47103,33550,8482
47105,50229,16117
47107,52506,12959
47113,98184,19926
47115,28306,7053
47119,84089,17439
47123,45293,11465
47125,185980,23166
47131,31129,7656
47141,73810,15599
47143,32394,7472
47145,53162,15089
47147,67426,12536
47149,282558,38881
47155,93617,22474
47157,937750,158463
47163,156752,42921
47165,169623,34302
47167,61674,10950
47177,40015,9016
47179,125317,28602
47183,34415,7747
47187,199456,33447
47189,122445,24834
48001,57915,11009
48005,87748,18203
48007,24292,8061
48013,47050,9319
48021,76948,15318
48027,326041,44542
48029,1825502,289365
48037,93155,19391
48039,331741,52183
48041,205271,24140
48049,37833,9123
48053,44144,12307
48055,39347,7208
48061,417947,68739
48067,30328,8293
48073,51167,11041
48085,862215,118906
48091,119632,29216
48097,38761,9374
48099,76128,9140
48113,2485003,350204
48121,731851,91601
48135,149557,21144
48139,157058,26685
48141,831095,127284
48143,40039,7354
48147,33748,8217
48149,24849,7557
48157,658331,93071
48167,308163,56896
48171,25398,9325
48181,122780,28271
48183,123178,23710
48187,143460,25322
48199,55375,11563
48201,4356362,593477
48203,66417,14150
48209,177562,25675
48213,79016,21407
48215,819217,113168
48217,34923,9132
48221,53171,16069
48223,35645,8064
48231,88052,18712
48241,35768,8380
48245,252872,47343
48249,41461,7940
48251,155450,28179
48257,109289,18295
48259,37361,9812
48265,50149,17065
48277,49566,11923
48291,77486,14089
48299,19323,8544
48303,290782,46519
48309,241505,43891
48321,36598,8460
48323,56548,8689
48325,47392,9992
48329,151290,23464
48339,502586,86862
48347,65531,11347
48349,48118,10469
48355,352060,64454
48361,83217,17241
48367,121418,24921
48373,46113,12437
48375,122352,19804
48381,126782,23907
48397,85536,13746
48401,53457,11146
48407,27023,7195
48409,66070,12511
48423,217552,44741
48427,62648,9379
48439,1914526,281901
48441,134435,24929
48451,115056,22773
48453,1121645,143774
48459,40096,9398
48465,48980,8848
48467,52736,13850
48469,90099,18067
48471,69330,10804
48473,45847,7261
48477,34236,8828
48479,263251,32094
48481,41264,8767
48485,131957,24931
48491,473592,71373
48493,45509,9470
48497,61243,11930
48499,42712,14365
49003,50991,8608
49005,117449,13873
49011,323374,41644
49021,47139,7196
49035,1078958,151111
49045,60893,7795
49049,551957,53955
49053,148244,36270
49057,238682,36872
50001,36943,8621
50003,36589,10197
50005,31012,7726
50007,159711,29676
50011,48418,9535
50017,28929,7379
50019,27146,7492
50021,60530,15665
50023,59132,14169
50025,43858,11881
50027,56150,15871
51001,33115,9424
51003,103108,22721
51009,32148,8242
51013,223945,30603
51015,74053,18887
51019,76463,19817
51023,33155,8959
51031,55012,13345
51035,29856,8511
51041,328176,59762
51047,48424,9339
51059,1128722,189229
51061,67463,14502
51067,56315,15763
51069,81340,16648
51073,37001,8652
51083,35506,10211
51085,101340,21721
51087,318864,61440
51089,52580,14725
51093,35740,8646
51095,70673,21302
51107,351129,40372
51109,33986,8358
51117,31555,9536
51121,96467,14962
51137,34596,9131
51143,62794,16781
51153,437271,54525
51155,34528,9377
51161,93633,24343
51163,22444,7065
51165,77785,18236
51167,28245,7099
51171,42724,11022
51173,31734,8480
51177,127691,21437
51179,137145,17596
51185,43870,11229
51187,38481,7867
51191,54759,14907
51195,40530,9061
51197,29190,7776
51199,66471,12951
51510,149315,21919
51550,230601,38686
51590,42450,11176
51650,137081,25871
51680,78158,14485
51700,181323,29932
51710,245452,34747
51730,32123,7244
51740,96135,18863
51760,213735,36656
51770,98736,21228
51800,86184,15893
51810,448290,75391
53005,184930,35204
53007,74267,17261
53009,72397,25430
53011,444506,85514
53015,102338,25173
53017,39599,8425
53021,86443,10304
53025,92070,16358
53027,71419,18229
53029,79329,23091
53031,30083,12529
53033,2045756,357711
53035,255441,55624
53037,42204,8558
53041,75515,19627
53045,60791,17152
53047,41332,10832
53049,20645,7712
53053,821952,146262
53057,119343,29973
53061,746653,131789
53063,480832,98826
53065,43548,12469
53067,262723,56363
53071,59726,12985
53073,207100,44319
53077,247408,42586
54003,108724,20519
54011,96824,22541
54019,45534,11777
54025,35666,10081
54029,30201,8240
54033,68998,16621
54035,29256,7768
54037,55214,10996
54039,190781,47346
54045,35760,8814
54049,56790,14019
54051,32480,8924
54055,61891,16284
54057,27755,7619
54061,101668,15491
54069,43637,11577
54077,33809,8512
54079,56596,12794
54081,78493,19675
54083,29365,7806
54099,41499,10246
54107,86559,21601
55001,20451,7310
55005,45686,12006
55009,254717,46721
55015,49678,9101
55017,63209,13871
55019,34518,7438
55021,56607,12862
55025,510198,87274
55027,88547,19713
55029,27731,9957
55031,43799,9832
55033,44159,8625
55035,101281,19538
55039,101920,23228
55043,51489,11221
55045,37044,8599
55055,84345,17040
55059,167738,29422
55063,117048,23271
55069,28286,7423
55071,80521,19908
55073,135177,29834
55075,41287,11986
55079,955939,163958
55081,45274,9650
55083,37476,9381
55085,35653,11284
55087,180430,33036
55089,87273,20587
55093,40799,7394
55095,43572,11073
55097,70432,14405
55101,194895,40065
55105,160727,32839
55109,86118,14787
55111,62992,14612
55115,41563,10780
55117,115226,25445
55123,30279,7565
55125,21355,8049
55127,103039,21723
55131,132921,28740
55133,393873,89282
55135,52125,13545
55137,24321,7163
55139,169004,34386
55141,74012,18289
56013,40755,9241
56021,95431,18823
56025,80011,15331
56029,28985,7933
56033,29738,7888
